city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,city_ascii_lower
Governador Archer,Governador Archer,-5.0219,-44.2708,Brazil,BR,BRA,Maranhão,,10205.0,1076355007,governador archer
Itamogi,Itamogi,-21.0778,-47.0478,Brazil,BR,BRA,Minas Gerais,,10157.0,1076902306,itamogi
São Pedro do Ivaí,Sao Pedro Do Ivai,-23.865,-51.8558,Brazil,BR,BRA,Paraná,,10167.0,1076420982,sao pedro do ivai
Catanduvas,Catanduvas,-25.2028,-53.1569,Brazil,BR,BRA,Paraná,,10167.0,1076928587,catanduvas
Caatiba,Caatiba,-14.9769,-40.4078,Brazil,BR,BRA,Bahia,,10166.0,1076562452,caatiba
Cachoeira dos Índios,Cachoeira Dos Indios,-6.9269,-38.6739,Brazil,BR,BRA,Paraíba,,10114.0,1076916983,cachoeira dos indios
Calçoene,Calcoene,2.4978,-50.9489,Brazil,BR,BRA,Amapá,,10163.0,1076001919,calcoene
Caém,Caem,-11.1,-40.4333,Brazil,BR,BRA,Bahia,,10143.0,1076157076,caem
Jucuruçu,Jucurucu,-16.8428,-40.1589,Brazil,BR,BRA,Bahia,,10148.0,1076806349,jucurucu
Rinópolis,Rinopolis,-21.7258,-50.7219,Brazil,BR,BRA,São Paulo,,10133.0,1076562968,rinopolis
Rio do Fogo,Rio Do Fogo,-5.2728,-35.3828,Brazil,BR,BRA,Rio Grande do Norte,,10059.0,1076926455,rio do fogo
Ipupiara,Ipupiara,-11.82,-42.6139,Brazil,BR,BRA,Bahia,,10113.0,1076106474,ipupiara
Iretama,Iretama,-24.4239,-52.1058,Brazil,BR,BRA,Paraná,,10098.0,1076488338,iretama
Dumont,Dumont,-21.2364,-47.9733,Brazil,BR,BRA,São Paulo,,10023.0,1076221690,dumont
Maiquinique,Maiquinique,-15.6208,-40.2658,Brazil,BR,BRA,Bahia,,10082.0,1076435783,maiquinique
Bela Vista de Minas,Bela Vista De Minas,-19.83,-43.0908,Brazil,BR,BRA,Minas Gerais,,10004.0,1076180977,bela vista de minas
Sinimbu,Sinimbu,-29.5389,-52.5219,Brazil,BR,BRA,Rio Grande do Sul,,10068.0,1076004049,sinimbu
Pescaria Brava,Pescaria Brava,-28.3833,-48.8833,Brazil,BR,BRA,Santa Catarina,,9980.0,1076082344,pescaria brava
Guaraciaba,Guaraciaba,-26.5989,-53.5178,Brazil,BR,BRA,Santa Catarina,,10026.0,1076248492,guaraciaba
Caraíbas,Caraibas,-14.6,-41.335,Brazil,BR,BRA,Bahia,,10016.0,1076820900,caraibas
Uchoa,Uchoa,-20.9528,-49.175,Brazil,BR,BRA,São Paulo,,9968.0,1076170916,uchoa
Arauá,Araua,-11.2619,-37.62,Brazil,BR,BRA,Sergipe,,9947.0,1076564107,araua
Matias Cardoso,Matias Cardoso,-14.855,-43.9219,Brazil,BR,BRA,Minas Gerais,,9979.0,1076573459,matias cardoso
Coronel Freitas,Coronel Freitas,-26.9089,-52.7028,Brazil,BR,BRA,Santa Catarina,,9940.0,1076871114,coronel freitas
São Sebastião do Maranhão,Sao Sebastiao Do Maranhao,-18.0839,-42.5708,Brazil,BR,BRA,Minas Gerais,,9963.0,1076095024,sao sebastiao do maranhao
Cristino Castro,Cristino Castro,-8.8178,-44.2239,Brazil,BR,BRA,Piauí,,9981.0,1076946451,cristino castro
Ventania,Ventania,-24.2458,-50.2428,Brazil,BR,BRA,Paraná,,9957.0,1076340729,ventania
Imaruí,Imarui,-28.3408,-48.82,Brazil,BR,BRA,Santa Catarina,,9948.0,1076901727,imarui
Catunda,Catunda,-4.6478,-40.2008,Brazil,BR,BRA,Ceará,,9952.0,1076914207,catunda
Itatiaiuçu,Itatiaiucu,-20.1969,-44.4208,Brazil,BR,BRA,Minas Gerais,,9928.0,1076406808,itatiaiucu
Coroaci,Coroaci,-18.6219,-42.2858,Brazil,BR,BRA,Minas Gerais,,9943.0,1076620759,coroaci
Manduri,Manduri,-23.0033,-49.3219,Brazil,BR,BRA,São Paulo,,9910.0,1076633866,manduri
Terra de Areia,Terra De Areia,-29.585,-50.0708,Brazil,BR,BRA,Rio Grande do Sul,,9878.0,1076030490,terra de areia
Umburetama,Umburetama,-7.6958,-35.6639,Brazil,BR,BRA,Pernambuco,,9889.0,1076928372,umburetama
Rubim,Rubim,-16.375,-40.5378,Brazil,BR,BRA,Minas Gerais,,9919.0,1076786475,rubim
Beneditinos,Beneditinos,-5.455,-42.36,Brazil,BR,BRA,Piauí,,9911.0,1076594743,beneditinos
Vargem,Vargem,-22.8889,-46.4139,Brazil,BR,BRA,São Paulo,,9854.0,1076267922,vargem
Juru,Juru,-7.5369,-37.8189,Brazil,BR,BRA,Paraíba,,9892.0,1076841131,juru
Mirante,Mirante,-14.2419,-40.7728,Brazil,BR,BRA,Bahia,,9902.0,1076774465,mirante
Tenente Ananias,Tenente Ananias,-6.465,-38.18,Brazil,BR,BRA,Rio Grande do Norte,,9883.0,1076521630,tenente ananias
Torrinha,Torrinha,-22.4258,-48.1689,Brazil,BR,BRA,São Paulo,,9846.0,1076302345,torrinha
Quilombo,Quilombo,-26.7258,-52.7208,Brazil,BR,BRA,Santa Catarina,,9829.0,1076105632,quilombo
Sarapuí,Sarapui,-23.6408,-47.825,Brazil,BR,BRA,São Paulo,,9836.0,1076402812,sarapui
Guia Lopes da Laguna,Guia Lopes Da Laguna,-21.4578,-56.1139,Brazil,BR,BRA,Mato Grosso do Sul,,9824.0,1076661198,guia lopes da laguna
Ninheira,Ninheira,-15.3208,-41.7539,Brazil,BR,BRA,Minas Gerais,,9815.0,1076790896,ninheira
Sairé,Saire,-8.3278,-35.7058,Brazil,BR,BRA,Pernambuco,,9764.0,1076702989,saire
São Gonçalo do Rio Abaixo,Sao Goncalo Do Rio Abaixo,-19.8258,-43.3619,Brazil,BR,BRA,Minas Gerais,,9777.0,1076000815,sao goncalo do rio abaixo
Constantina,Constantina,-27.735,-52.9919,Brazil,BR,BRA,Rio Grande do Sul,,9752.0,1076797268,constantina
Barracão,Barracao,-26.2539,-53.6328,Brazil,BR,BRA,Paraná,,9735.0,1076190818,barracao
Alto Piquiri,Alto Piquiri,-24.0278,-53.4408,Brazil,BR,BRA,Paraná,,9778.0,1076224592,alto piquiri
Carnaubais,Carnaubais,-5.3408,-36.8328,Brazil,BR,BRA,Rio Grande do Norte,,9762.0,1076068941,carnaubais
Caturama,Caturama,-13.3289,-42.2908,Brazil,BR,BRA,Bahia,,9762.0,1076059211,caturama
Wagner,Wagner,-12.2869,-41.1678,Brazil,BR,BRA,Bahia,,9731.0,1076156238,wagner
Cardeal da Silva,Cardeal Da Silva,-11.9419,-37.9489,Brazil,BR,BRA,Bahia,,9747.0,1076285544,cardeal da silva
Ferros,Ferros,-19.2319,-43.0228,Brazil,BR,BRA,Minas Gerais,,9696.0,1076000745,ferros
Luís Gomes,Luis Gomes,-6.4139,-38.3889,Brazil,BR,BRA,Rio Grande do Norte,,9610.0,1076347577,luis gomes
Prudente de Morais,Prudente De Morais,-19.4819,-44.155,Brazil,BR,BRA,Minas Gerais,,9573.0,1076071573,prudente de morais
Roncador,Roncador,-24.6028,-52.275,Brazil,BR,BRA,Paraná,,9645.0,1076051192,roncador
Apiúna,Apiuna,-27.0358,-49.39,Brazil,BR,BRA,Santa Catarina,,9600.0,1076920853,apiuna
Palmeira d’Oeste,Palmeira D'Oeste,-20.4158,-50.7619,Brazil,BR,BRA,São Paulo,,9596.0,1076247939,palmeira d'oeste
Manuel Urbano,Manuel Urbano,-8.8389,-69.26,Brazil,BR,BRA,Acre,,9581.0,1076473892,manuel urbano
Ouroeste,Ouroeste,-20.0008,-50.3719,Brazil,BR,BRA,São Paulo,,9564.0,1076000763,ouroeste
Ipuiúna,Ipuiuna,-22.0989,-46.19,Brazil,BR,BRA,Minas Gerais,,9521.0,1076328220,ipuiuna
Iaras,Iaras,-22.8667,-49.1667,Brazil,BR,BRA,São Paulo,,9517.0,1076892374,iaras
Águia Branca,Aguia Branca,-18.9828,-40.74,Brazil,BR,BRA,Espírito Santo,,9519.0,1076311208,aguia branca
Varre-Sai,Varre-Sai,-20.9308,-41.8689,Brazil,BR,BRA,Rio de Janeiro,,9475.0,1076621254,varre-sai
Ananás,Ananas,-6.3658,-48.0728,Brazil,BR,BRA,Tocantins,,9492.0,1076131174,ananas
Lamarão,Lamarao,-11.7828,-38.9,Brazil,BR,BRA,Bahia,,9442.0,1076962931,lamarao
Planaltino,Planaltino,-13.2589,-40.3689,Brazil,BR,BRA,Bahia,,9473.0,1076715731,planaltino
Terra Roxa,Terra Roxa,-20.7889,-48.33,Brazil,BR,BRA,São Paulo,,9437.0,1076064545,terra roxa
Santanópolis,Santanopolis,-12.0169,-38.8669,Brazil,BR,BRA,Bahia,,9442.0,1076762230,santanopolis
Arenápolis,Arenapolis,-14.45,-56.8458,Brazil,BR,BRA,Mato Grosso,,9455.0,1076938959,arenapolis
Riachuelo,Riachuelo,-10.7278,-37.1869,Brazil,BR,BRA,Sergipe,,9355.0,1076898360,riachuelo
Grossos,Grossos,-4.98,-37.155,Brazil,BR,BRA,Rio Grande do Norte,,9393.0,1076598247,grossos
Várzea do Poço,Varzea Do Poco,-11.5289,-40.32,Brazil,BR,BRA,Bahia,,9416.0,1076941608,varzea do poco
Olho d’Água do Casado,Olho D'Agua Do Casado,-9.5,-37.8167,Brazil,BR,BRA,Alagoas,,9441.0,1076578484,olho d'agua do casado
Alfredo Wagner,Alfredo Wagner,-27.7,-49.3339,Brazil,BR,BRA,Santa Catarina,,9410.0,1076900452,alfredo wagner
Montes Altos,Montes Altos,-5.8308,-47.0669,Brazil,BR,BRA,Maranhão,,9413.0,1076887394,montes altos
Varzedo,Varzedo,-12.9708,-39.3939,Brazil,BR,BRA,Bahia,,9363.0,1076982829,varzedo
Cavalcante,Cavalcante,-13.7978,-47.4578,Brazil,BR,BRA,Goiás,,9392.0,1076922025,cavalcante
Igaratá,Igarata,-23.2044,-46.1561,Brazil,BR,BRA,São Paulo,,9349.0,1076600029,igarata
Açucena,Acucena,-19.0728,-42.5458,Brazil,BR,BRA,Minas Gerais,,9368.0,1076910841,acucena
Riacho dos Machados,Riacho Dos Machados,-16.0058,-43.0489,Brazil,BR,BRA,Minas Gerais,,9360.0,1076541307,riacho dos machados
Ariranha,Ariranha,-21.1878,-48.7869,Brazil,BR,BRA,São Paulo,,9277.0,1076878901,ariranha
Ipiranga do Piauí,Ipiranga Do Piaui,-6.8278,-41.7408,Brazil,BR,BRA,Piauí,,9327.0,1076619598,ipiranga do piaui
Porangaba,Porangaba,-23.1758,-48.125,Brazil,BR,BRA,São Paulo,,9299.0,1076548805,porangaba
Dores de Campos,Dores De Campos,-21.1089,-44.0228,Brazil,BR,BRA,Minas Gerais,,9299.0,1076670451,dores de campos
Igaratinga,Igaratinga,-19.955,-44.7089,Brazil,BR,BRA,Minas Gerais,,9264.0,1076729313,igaratinga
Paula Cândido,Paula Candido,-20.8739,-42.98,Brazil,BR,BRA,Minas Gerais,,9271.0,1076748118,paula candido
Terra Nova,Terra Nova,-8.23,-39.3758,Brazil,BR,BRA,Pernambuco,,9278.0,1076265057,terra nova
Antônio Dias,Antonio Dias,-19.6528,-42.8719,Brazil,BR,BRA,Minas Gerais,,9275.0,1076595263,antonio dias
Axixá do Tocantins,Axixa Do Tocantins,-5.6169,-47.7689,Brazil,BR,BRA,Tocantins,,9275.0,1076964042,axixa do tocantins
Herculândia,Herculandia,-22.0036,-50.3853,Brazil,BR,BRA,São Paulo,,9278.0,1076531050,herculandia
Juruaia,Juruaia,-21.2528,-46.5769,Brazil,BR,BRA,Minas Gerais,,9238.0,1076409302,juruaia
Salto Grande,Salto Grande,-22.8928,-49.9858,Brazil,BR,BRA,São Paulo,,9223.0,1076969780,salto grande
Abaíra,Abaira,-13.25,-41.6639,Brazil,BR,BRA,Bahia,,9226.0,1076572454,abaira
Rosário do Catete,Rosario Do Catete,-10.6958,-37.0308,Brazil,BR,BRA,Sergipe,,9221.0,1076520504,rosario do catete
Carneiros,Carneiros,-9.4828,-37.3769,Brazil,BR,BRA,Alagoas,,9159.0,1076881848,carneiros
Amapá,Amapa,2.0528,-50.7928,Brazil,BR,BRA,Amapá,,9187.0,1076834242,amapa
Aratuípe,Aratuipe,-13.0789,-39.0019,Brazil,BR,BRA,Bahia,,9127.0,1076544809,aratuipe
Verdejante,Verdejante,-7.9256,-38.9717,Brazil,BR,BRA,Pernambuco,,9142.0,1076829229,verdejante
Coqueiral,Coqueiral,-21.1889,-45.4408,Brazil,BR,BRA,Minas Gerais,,9128.0,1076371955,coqueiral
Carbonita,Carbonita,-17.5269,-43.0158,Brazil,BR,BRA,Minas Gerais,,9148.0,1076114573,carbonita
Urânia,Urania,-20.2458,-50.6428,Brazil,BR,BRA,São Paulo,,9135.0,1076428972,urania
Rio Acima,Rio Acima,-20.0878,-43.7889,Brazil,BR,BRA,Minas Gerais,,9090.0,1076873685,rio acima
Coronel Murta,Coronel Murta,-16.6189,-42.1819,Brazil,BR,BRA,Minas Gerais,,9117.0,1076166627,coronel murta
Anísio de Abreu,Anisio De Abreu,-9.1889,-43.0458,Brazil,BR,BRA,Piauí,,9098.0,1076098947,anisio de abreu
Paranaiguana,Paranaiguana,-18.9158,-50.6539,Brazil,BR,BRA,Goiás,,9100.0,1076018751,paranaiguana
Pântano Grande,Pantano Grande,-30.1908,-52.3739,Brazil,BR,BRA,Rio Grande do Sul,,9083.0,1076467088,pantano grande
Pedrinhas,Pedrinhas,-11.1919,-37.6739,Brazil,BR,BRA,Sergipe,,8833.0,1076765344,pedrinhas
Casca,Casca,-28.5608,-51.9778,Brazil,BR,BRA,Rio Grande do Sul,,9051.0,1076789569,casca
Silves,Silves,-2.8389,-58.2092,Brazil,BR,BRA,Amazonas,,9081.0,1076795743,silves
Vista Alegre do Alto,Vista Alegre Do Alto,-21.1708,-48.6289,Brazil,BR,BRA,São Paulo,,8989.0,1076556139,vista alegre do alto
Caputira,Caputira,-20.1719,-42.2708,Brazil,BR,BRA,Minas Gerais,,9030.0,1076678686,caputira
Rafard,Rafard,-23.0117,-47.5269,Brazil,BR,BRA,São Paulo,,9004.0,1076001121,rafard
Buriti Alegre,Buriti Alegre,-18.1439,-49.0439,Brazil,BR,BRA,Goiás,,9054.0,1076584363,buriti alegre
Saudade,Saudade,-26.9239,-53.0028,Brazil,BR,BRA,Santa Catarina,,9016.0,1076589237,saudade
Januário Cicco,Januario Cicco,-6.1578,-35.6008,Brazil,BR,BRA,Rio Grande do Norte,,9011.0,1076818819,januario cicco
São Jorge d’Oeste,Sao Jorge D'Oeste,-25.7058,-52.9178,Brazil,BR,BRA,Paraná,,9028.0,1076759209,sao jorge d'oeste
Neves Paulista,Neves Paulista,-20.8458,-49.63,Brazil,BR,BRA,São Paulo,,9008.0,1076295222,neves paulista
Candeal,Candeal,-11.8078,-39.1189,Brazil,BR,BRA,Bahia,,9011.0,1076755311,candeal
Sítio Novo de Goiás,Sitio Novo De Goias,-5.6008,-47.6378,Brazil,BR,BRA,Tocantins,,8997.0,1076199362,sitio novo de goias
Natividade,Natividade,-11.71,-47.7228,Brazil,BR,BRA,Tocantins,,9000.0,1076499835,natividade
Rondon,Rondon,-23.4108,-52.7608,Brazil,BR,BRA,Paraná,,8996.0,1076528861,rondon
Divisópolis,Divisopolis,-15.7258,-41.0,Brazil,BR,BRA,Minas Gerais,,8974.0,1076864347,divisopolis
Potiraguá,Potiragua,-15.595,-39.8769,Brazil,BR,BRA,Bahia,,8969.0,1076725236,potiragua
Florânia,Florania,-6.1269,-36.8178,Brazil,BR,BRA,Rio Grande do Norte,,8959.0,1076075803,florania
Capim Branco,Capim Branco,-19.5489,-44.1169,Brazil,BR,BRA,Minas Gerais,,8881.0,1076851522,capim branco
André Fernandes,Andre Fernandes,-15.9658,-41.4978,Brazil,BR,BRA,Minas Gerais,,8959.0,1076103551,andre fernandes
Morpará,Morpara,-11.5589,-43.2808,Brazil,BR,BRA,Bahia,,8967.0,1076260332,morpara
Carmo do Rio Verde,Carmo Do Rio Verde,-15.3539,-49.7078,Brazil,BR,BRA,Goiás,,8928.0,1076166085,carmo do rio verde
Santa Rita de Caldas,Santa Rita De Caldas,-22.0289,-46.3369,Brazil,BR,BRA,Minas Gerais,,8924.0,1076413095,santa rita de caldas
Dourado,Dourado,-22.1,-48.3178,Brazil,BR,BRA,São Paulo,,8897.0,1076827239,dourado
Frei Inocêncio,Frei Inocencio,-18.545,-41.9219,Brazil,BR,BRA,Minas Gerais,,8920.0,1076063892,frei inocencio
Paulo de Faria,Paulo De Faria,-20.0308,-49.3828,Brazil,BR,BRA,São Paulo,,8924.0,1076000170,paulo de faria
Araújos,Araujos,-19.9478,-45.1658,Brazil,BR,BRA,Minas Gerais,,8885.0,1076956280,araujos
São Sebastião do Alto,Sao Sebastiao Do Alto,-21.9569,-42.135,Brazil,BR,BRA,Rio de Janeiro,,8895.0,1076072454,sao sebastiao do alto
Malhada de Pedras,Malhada De Pedras,-14.3878,-41.8789,Brazil,BR,BRA,Bahia,,8896.0,1076894314,malhada de pedras
Baía da Traição,Baia Da Traicao,-6.6878,-34.9358,Brazil,BR,BRA,Paraíba,,8826.0,1076067542,baia da traicao
Brejão,Brejao,-9.03,-36.5689,Brazil,BR,BRA,Pernambuco,,8844.0,1076400977,brejao
Ouriçangas,Ouricangas,-12.0169,-38.6169,Brazil,BR,BRA,Bahia,,8839.0,1076631656,ouricangas
Rodelas,Rodelas,-8.8508,-38.7558,Brazil,BR,BRA,Bahia,,8887.0,1076961333,rodelas
Palhano,Palhano,-4.745,-37.9589,Brazil,BR,BRA,Ceará,,8866.0,1076664168,palhano
Anaurilândia,Anaurilandia,-22.1878,-52.7178,Brazil,BR,BRA,Mato Grosso do Sul,,8885.0,1076668503,anaurilandia
Nova Bassano,Nova Bassano,-28.7239,-51.705,Brazil,BR,BRA,Rio Grande do Sul,,8840.0,1076902566,nova bassano
